,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
351,Doug Bolstorff,"Bolstorff, Doug",1957,Y,76197,HISTADD_doug_bolstorff,0,,,,0,,1957
352,George H. Bon Salle,"Bon Salle, George H.",1961,Y,76203,HISTADD_george_bonsalle,0,,,,0,,1961
353,Phil Bond,"Bond, Phil",1977,Y,76198,HISTADD_phil_bond,0,,,,0,,1977
354,Walter Bond,"Bond, Walter",1992,Y,1603,walter_bond,0,,,,0,,1994
355,Dexter Boney,"Boney, Dexter",1996,Y,1121,dexter_boney,0,,,,0,,1996
356,Ron Bonham,"Bonham, Ron",1964,Y,76201,HISTADD_ron_bonham,0,,,,0,,1965
357,Anthony Bonner,"Bonner, Anthony",1990,Y,41,anthony_bonner,0,,,,0,,2002
358,Matt Bonner,"Bonner, Matt",2004,Y,2588,matt_bonner,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
359,Devin Booker,"Booker, Devin",2015,Y,1626164,devin_booker,1,PHX,Phoenix,suns,1610612756,Suns,2017
360,Melvin Booker,"Booker, Melvin",1995,Y,511,melvin_booker,0,,,,0,,1996
361,Trevor Booker,"Booker, Trevor",2010,Y,202344,trevor_booker,1,UTA,Utah,jazz,1610612762,Jazz,2017
362,Josh Boone,"Boone, Josh",2006,Y,200767,josh_boone,0,,,,0,,2009
363,Ron Boone,"Boone, Ron",1976,Y,76204,HISTADD_ron_boone,0,,,,0,,1980
364,Calvin Booth,"Booth, Calvin",1999,Y,1916,calvin_booth,0,,,,0,,2008
365,Keith Booth,"Booth, Keith",1997,Y,1522,keith_booth,0,,,,0,,1998
366,Bob Boozer,"Boozer, Bob",1960,Y,76206,HISTADD_bob_boozer,0,,,,0,,1970
367,Carlos Boozer,"Boozer, Carlos",2002,Y,2430,carlos_boozer,0,,,,0,,2014
368,Curtis Borchardt,"Borchardt, Curtis",2002,Y,2414,curtis_borchardt,0,,,,0,,2004
369,Jake Bornheimer,"Bornheimer, Jake",1948,Y,76207,HISTADD_jake_bornheimer,0,,,,0,,1949
370,Lazaro Borrell,"Borrell, Lazaro",1999,Y,1953,lazaro_borrell,0,,,,0,,1999
